订单ID,用户ID,商品ID,下单时间,数量,支付金额,支付方式,订单状态
order_2568,user_8060,item_219,2024-07-29 09:12:13,3,187.32,支付宝,已完成
order_2569,user_8570,item_421,2024-07-11 00:14:08,2,1354.56,信用卡,已完成
order_2570,user_324,item_46,2025-01-21 08:53:30,1,99.68,支付宝,已退款
order_2571,user_5200,item_219,2024-11-03 13:20:55,3,1546.83,信用卡,已取消
order_2572,user_8226,item_229,2024-11-25 02:39:06,1,113.46,信用卡,已完成
order_2573,user_2121,item_159,2025-04-04 06:03:29,1,19.02,信用卡,已完成
order_2574,user_5907,item_216,2025-04-01 20:06:03,3,2013.54,信用卡,已完成
order_2575,user_3581,item_296,2025-04-10 01:26:06,1,220.5,信用卡,已取消
order_2576,user_681,item_129,2025-06-03 08:41:01,1,539.72,信用卡,已完成
order_2577,user_4827,item_370,2024-08-14 14:06:22,4,2787.0,信用卡,已完成
order_2578,user_3811,item_353,2025-01-14 18:46:40,2,642.8,信用卡,已完成
order_2579,user_8635,item_100,2025-01-22 16:10:43,2,1914.32,微信,已完成
order_2580,user_6391,item_194,2024-10-14 22:02:53,3,2475.66,信用卡,已完成
order_2581,user_1963,item_268,2024-09-17 15:47:55,4,2545.6,支付宝,已完成
order_2582,user_6412,item_272,2024-08-01 16:47:22,3,2297.28,微信,已完成
order_2583,user_6627,item_365,2025-01-11 08:46:25,3,2229.15,支付宝,已退款
order_2584,user_9108,item_94,2025-01-26 22:39:55,1,377.7,信用卡,已取消
order_2585,user_1258,item_444,2024-10-25 22:03:07,1,176.92,支付宝,已完成
order_2586,user_364,item_104,2025-01-15 02:51:03,3,1843.62,支付宝,已完成
order_2587,user_9846,item_457,2024-11-05 23:17:07,4,2296.52,微信,已完成
order_2588,user_4776,item_408,2025-04-16 15:49:54,2,173.8,信用卡,已完成
order_2589,user_8461,item_255,2025-02-28 12:40:01,1,961.13,支付宝,已退款
order_2590,user_5881,item_39,2024-08-27 19:12:41,3,1009.26,微信,已完成
order_2591,user_3702,item_392,2024-07-05 17:57:18,4,3543.52,微信,已退款
order_2592,user_5223,item_142,2024-07-07 11:36:49,3,1816.38,微信,已完成
order_2593,user_2441,item_271,2025-06-07 10:01:34,3,2836.56,信用卡,已退款
order_2594,user_4121,item_381,2025-05-02 00:29:11,4,1971.76,支付宝,已完成
order_2595,user_8323,item_45,2025-01-22 08:11:08,3,2194.08,微信,已完成
order_2596,user_9177,item_255,2025-02-11 18:10:56,4,1694.72,信用卡,已完成
order_2597,user_8052,item_334,2024-10-05 02:48:57,3,665.28,信用卡,已完成
order_2598,user_5736,item_453,2024-09-28 09:05:54,4,3065.48,微信,已完成
order_2599,user_5055,item_469,2025-05-15 20:35:05,1,345.59,微信,已完成
order_2600,user_751,item_69,2025-04-23 07:19:19,2,42.64,微信,已完成
order_2601,user_976,item_423,2024-10-22 16:35:39,3,1230.45,信用卡,已完成
order_2602,user_7263,item_29,2025-04-04 19:12:20,1,988.51,信用卡,已完成
order_2603,user_5455,item_229,2024-12-07 19:55:32,2,435.46,支付宝,已完成
order_2604,user_5257,item_398,2025-01-08 21:08:56,4,3569.28,微信,已退款
order_2605,user_7933,item_164,2024-08-08 13:02:30,1,501.16,信用卡,已完成
order_2606,user_6288,item_420,2025-04-06 22:15:15,3,314.13,信用卡,已完成
order_2607,user_6431,item_113,2024-07-19 22:23:00,4,854.68,支付宝,已完成
order_2608,user_1114,item_200,2025-05-19 11:46:29,3,1780.83,支付宝,已完成
order_2609,user_7730,item_130,2024-11-18 12:03:49,3,888.36,支付宝,已完成
order_2610,user_1527,item_183,2024-10-05 12:45:15,2,1822.62,支付宝,已完成
order_2611,user_5178,item_77,2025-02-25 03:36:52,2,1779.8,支付宝,已完成
order_2612,user_4510,item_33,2025-01-09 17:53:08,4,3836.4,信用卡,已取消
order_2613,user_2561,item_407,2024-11-11 07:34:46,4,2691.16,信用卡,已完成
order_2614,user_6826,item_124,2024-08-13 17:40:10,2,1236.68,支付宝,已完成
order_2615,user_7269,item_39,2024-07-15 04:33:04,2,1762.0,信用卡,已完成
order_2616,user_5926,item_231,2025-04-16 11:17:54,2,641.48,信用卡,已完成
order_2617,user_986,item_104,2025-03-06 11:03:29,1,467.38,支付宝,已完成
order_2618,user_6407,item_446,2024-08-14 02:24:03,1,425.46,微信,已完成
order_2619,user_4177,item_343,2024-12-17 22:10:46,1,465.82,微信,已完成
order_2620,user_421,item_157,2024-10-20 08:50:50,3,2911.08,信用卡,已完成
order_2621,user_9637,item_423,2025-02-03 23:07:55,1,966.44,微信,已完成
order_2622,user_8369,item_347,2025-04-08 19:40:10,1,148.92,微信,已退款
order_2623,user_5408,item_347,2024-06-28 16:14:27,4,2580.2,信用卡,已完成
order_2624,user_2072,item_219,2024-12-19 15:17:10,4,3168.68,支付宝,已完成
order_2625,user_9124,item_321,2024-11-05 07:10:26,2,1165.04,支付宝,已完成
order_2626,user_5382,item_196,2024-09-26 08:14:06,3,2738.82,支付宝,已完成
order_2627,user_4877,item_115,2025-05-05 10:24:17,1,58.57,支付宝,已完成
order_2628,user_5646,item_145,2025-04-12 06:37:03,1,985.78,微信,已取消
order_2629,user_4466,item_232,2025-02-07 12:29:45,2,201.0,信用卡,已取消
order_2630,user_2093,item_400,2025-02-01 07:23:48,1,349.17,信用卡,已完成
order_2631,user_6851,item_84,2025-03-31 04:38:33,4,3330.12,支付宝,已完成
order_2632,user_7071,item_331,2025-06-08 23:29:28,4,2021.96,支付宝,已完成
order_2633,user_6168,item_115,2025-06-25 18:08:57,3,624.06,支付宝,已完成
order_2634,user_7443,item_92,2025-02-25 10:39:00,1,663.13,支付宝,已完成
order_2635,user_4235,item_175,2025-03-12 02:44:58,1,847.41,微信,已完成
order_2636,user_9571,item_157,2025-01-19 18:15:32,1,665.3,信用卡,已退款
order_2637,user_9379,item_388,2025-05-20 14:55:10,3,229.2,微信,已完成
order_2638,user_5866,item_185,2025-02-12 22:34:00,1,164.36,支付宝,已完成
order_2639,user_4889,item_337,2024-09-25 11:10:32,4,62.44,信用卡,已退款
order_2640,user_805,item_93,2024-11-09 17:01:38,4,808.44,信用卡,已完成
order_2641,user_5435,item_18,2024-10-20 20:24:35,3,2728.14,支付宝,已取消
order_2642,user_6517,item_254,2024-10-15 03:42:41,3,780.45,支付宝,已完成
order_2643,user_3292,item_363,2025-03-12 15:48:56,2,1910.96,信用卡,已完成
order_2644,user_184,item_393,2025-04-27 10:24:52,3,658.38,微信,已退款
order_2645,user_7676,item_374,2025-05-09 04:44:15,3,1465.26,支付宝,已完成
order_2646,user_9940,item_448,2025-03-31 06:34:30,2,307.68,微信,已取消
order_2647,user_4466,item_32,2025-02-04 02:12:43,4,3141.76,微信,已完成
order_2648,user_2405,item_170,2025-03-14 19:11:09,3,1031.88,信用卡,已完成
order_2649,user_5787,item_436,2024-08-20 00:16:38,4,1332.84,信用卡,已完成
order_2650,user_4367,item_139,2025-03-31 01:52:56,1,612.6,微信,已完成
order_2651,user_9552,item_422,2024-11-20 07:44:53,3,469.89,信用卡,已完成
order_2652,user_3934,item_239,2025-01-14 11:17:34,1,361.89,信用卡,已完成
order_2653,user_2896,item_139,2025-04-09 01:45:42,1,767.35,支付宝,已完成
order_2654,user_4253,item_316,2024-09-30 19:45:30,3,178.92,信用卡,已完成
order_2655,user_6952,item_155,2024-08-06 12:26:04,1,951.95,信用卡,已完成
order_2656,user_9142,item_360,2024-10-31 23:24:13,4,1167.8,信用卡,已完成
order_2657,user_7396,item_277,2025-01-13 05:19:42,4,3744.16,支付宝,已完成
order_2658,user_4177,item_460,2025-02-07 19:43:17,2,146.56,信用卡,已完成
order_2659,user_5036,item_85,2024-09-09 10:23:37,3,2089.02,支付宝,已取消
order_2660,user_1826,item_54,2025-05-12 05:05:55,1,901.86,支付宝,已完成
order_2661,user_3171,item_234,2025-04-25 00:15:21,3,2251.71,支付宝,已完成
order_2662,user_1394,item_275,2024-11-13 22:54:21,1,505.75,支付宝,已取消
order_2663,user_6614,item_63,2024-12-20 02:07:15,2,1111.96,微信,已完成
order_2664,user_3468,item_251,2024-08-03 16:57:41,4,854.28,支付宝,已退款
order_2665,user_1406,item_433,2024-08-22 13:37:26,1,825.75,微信,已完成
order_2666,user_8115,item_370,2025-03-30 00:37:05,4,3835.72,微信,已完成
order_2667,user_3531,item_11,2024-12-08 23:23:12,4,2182.64,微信,已完成
order_2668,user_1923,item_432,2025-05-14 09:14:49,3,2823.93,支付宝,已完成
order_2669,user_1971,item_444,2024-12-03 16:15:37,1,740.53,支付宝,已完成
order_2670,user_6507,item_383,2024-07-28 11:27:05,1,829.21,信用卡,已完成
order_2671,user_9457,item_268,2024-08-01 11:28:04,1,589.63,信用卡,已完成
order_2672,user_6444,item_246,2024-07-20 19:20:08,4,658.8,微信,已退款
order_2673,user_8229,item_39,2024-12-08 15:52:47,3,803.97,微信,已完成
order_2674,user_9331,item_238,2025-06-06 17:09:19,4,2985.2,信用卡,已完成
order_2675,user_4222,item_65,2024-08-16 03:55:35,3,1923.75,支付宝,已完成
order_2676,user_9045,item_500,2024-12-28 14:38:56,3,828.33,支付宝,已完成
order_2677,user_7469,item_352,2024-09-18 01:35:03,4,791.56,微信,已完成
order_2678,user_1508,item_227,2024-12-16 22:11:57,3,159.39,信用卡,已完成
order_2679,user_9352,item_341,2024-07-26 23:20:19,1,688.62,支付宝,已完成
order_2680,user_5472,item_73,2024-11-17 01:43:12,3,2938.35,支付宝,已完成
order_2681,user_2827,item_355,2025-03-16 12:05:27,4,2278.6,微信,已退款
order_2682,user_9792,item_78,2025-01-17 00:42:22,4,887.28,信用卡,已完成
order_2683,user_3099,item_14,2024-11-30 01:35:06,3,1220.22,支付宝,已完成
order_2684,user_7234,item_115,2025-02-10 02:26:15,1,110.11,微信,已完成
order_2685,user_2107,item_138,2025-01-29 17:36:43,3,2563.86,支付宝,已完成
order_2686,user_1571,item_447,2025-01-14 04:33:59,1,783.16,微信,已完成
order_2687,user_8486,item_162,2025-04-25 02:49:16,1,551.04,微信,已取消
order_2688,user_1085,item_486,2024-11-26 23:17:16,1,440.08,信用卡,已完成
order_2689,user_5460,item_290,2025-05-31 07:24:56,1,669.02,微信,已完成
order_2690,user_9891,item_401,2024-10-07 01:27:07,4,2729.0,微信,已完成
order_2691,user_7124,item_14,2025-02-08 13:45:16,1,447.9,支付宝,已完成
order_2692,user_9925,item_219,2025-01-06 09:03:21,4,2390.68,微信,已取消
order_2693,user_3433,item_60,2025-02-28 19:53:47,2,1720.38,微信,已完成
order_2694,user_4879,item_201,2024-12-08 02:13:46,4,3944.44,支付宝,已完成
order_2695,user_3165,item_101,2024-12-14 13:29:27,2,144.78,支付宝,已取消
order_2696,user_5715,item_83,2025-03-21 05:45:37,1,566.66,支付宝,已退款
order_2697,user_3653,item_438,2025-06-23 05:31:45,3,975.33,支付宝,已完成
order_2698,user_2865,item_356,2025-01-02 18:30:07,3,1465.56,信用卡,已完成
order_2699,user_2630,item_52,2025-04-06 19:44:41,4,3918.24,支付宝,已退款
order_2700,user_6611,item_358,2024-12-05 13:38:47,2,504.02,支付宝,已完成
order_2701,user_9761,item_439,2025-05-12 14:07:53,2,276.18,微信,已完成
order_2702,user_9918,item_302,2024-08-28 21:27:11,4,3656.44,支付宝,已取消
order_2703,user_7357,item_391,2024-08-21 17:03:09,1,620.13,支付宝,已完成
order_2704,user_7866,item_49,2025-01-09 01:54:53,1,16.03,微信,已完成
order_2705,user_2064,item_273,2024-08-15 00:31:47,1,828.01,支付宝,已完成
order_2706,user_674,item_96,2024-12-31 21:58:49,1,698.02,微信,已取消
order_2707,user_3546,item_411,2025-03-29 20:03:08,2,932.88,支付宝,已完成
order_2708,user_3162,item_199,2024-12-21 09:50:28,4,3135.64,支付宝,已取消
order_2709,user_8361,item_316,2024-08-15 21:36:21,2,1143.72,信用卡,已完成
order_2710,user_3776,item_499,2025-03-27 06:17:40,2,615.04,支付宝,已完成
order_2711,user_6871,item_121,2025-01-11 22:53:02,4,1458.88,信用卡,已取消
order_2712,user_5111,item_154,2025-05-27 21:55:25,1,473.89,信用卡,已完成
order_2713,user_8320,item_297,2025-01-18 03:36:04,2,1744.86,微信,已完成
order_2714,user_3179,item_207,2024-08-11 12:01:49,1,180.5,微信,已完成
order_2715,user_7348,item_441,2025-03-23 08:35:05,1,799.44,微信,已完成
order_2716,user_445,item_325,2024-09-17 05:37:14,3,2340.03,支付宝,已取消
order_2717,user_378,item_402,2024-12-20 12:35:09,2,875.52,支付宝,已完成
order_2718,user_4826,item_298,2024-12-27 11:38:32,2,450.98,微信,已完成
order_2719,user_2297,item_443,2024-07-09 07:34:17,3,1000.32,微信,已完成
order_2720,user_2866,item_425,2025-04-12 13:29:54,4,2437.4,支付宝,已完成
order_2721,user_3482,item_490,2024-08-26 13:30:01,1,220.04,信用卡,已完成
order_2722,user_5591,item_323,2025-01-29 18:09:18,1,299.41,微信,已完成
order_2723,user_7919,item_340,2024-11-17 02:04:22,2,1361.96,信用卡,已取消
order_2724,user_9435,item_31,2025-06-19 14:29:26,2,711.9,信用卡,已完成
order_2725,user_7867,item_258,2024-08-11 18:37:42,1,436.51,微信,已取消
order_2726,user_2268,item_49,2025-02-15 06:58:08,2,558.72,微信,已完成
order_2727,user_9701,item_78,2025-05-23 15:49:34,3,2392.5,信用卡,已完成
order_2728,user_9762,item_301,2024-12-02 08:15:42,3,2563.74,微信,已完成
order_2729,user_43,item_456,2024-08-08 12:03:22,4,102.24,信用卡,已退款
order_2730,user_6022,item_347,2024-08-12 14:12:19,4,2965.76,信用卡,已完成
order_2731,user_8030,item_153,2024-11-17 04:26:22,4,2298.6,支付宝,已完成
order_2732,user_998,item_287,2025-02-03 16:52:56,2,146.98,信用卡,已完成
order_2733,user_8403,item_199,2024-10-17 02:49:42,1,585.96,微信,已退款
order_2734,user_5085,item_20,2024-07-12 07:06:19,2,1612.7,信用卡,已退款
order_2735,user_101,item_16,2025-01-15 16:17:17,4,2810.84,支付宝,已完成
order_2736,user_4426,item_357,2024-08-25 04:33:00,2,285.8,支付宝,已完成
order_2737,user_3287,item_41,2024-08-11 09:05:08,3,2752.38,微信,已取消
order_2738,user_4493,item_463,2024-11-17 21:58:31,1,659.04,微信,已退款
order_2739,user_16,item_214,2024-10-23 01:45:06,1,823.12,支付宝,已完成
order_2740,user_3044,item_101,2024-11-19 01:51:59,3,2525.04,微信,已完成
order_2741,user_1962,item_56,2024-10-22 10:14:14,3,953.7,支付宝,已完成
order_2742,user_2131,item_171,2024-10-18 19:45:10,4,779.76,信用卡,已完成
order_2743,user_7766,item_350,2025-01-01 08:48:10,3,2125.05,信用卡,已完成
order_2744,user_9771,item_56,2024-07-07 12:25:13,4,3930.64,支付宝,已取消
order_2745,user_774,item_454,2025-04-29 22:12:05,3,1420.62,信用卡,已取消
order_2746,user_6215,item_121,2024-08-21 03:17:16,2,418.86,支付宝,已完成
order_2747,user_6821,item_330,2024-08-20 20:29:15,3,1227.6,支付宝,已退款
order_2748,user_2111,item_292,2025-04-27 01:07:27,3,2969.01,微信,已退款
order_2749,user_6040,item_424,2025-02-10 15:20:41,1,304.02,信用卡,已完成
order_2750,user_3343,item_325,2024-12-07 10:42:30,3,2384.76,支付宝,已完成
order_2751,user_448,item_292,2024-07-15 13:06:33,2,1570.26,微信,已完成
order_2752,user_223,item_267,2025-06-25 11:26:59,4,3945.96,微信,已完成
order_2753,user_3551,item_175,2025-06-08 22:41:24,3,1910.91,信用卡,已完成
order_2754,user_6308,item_320,2024-10-23 03:58:58,1,63.99,支付宝,已完成
order_2755,user_5963,item_154,2025-06-06 22:15:44,3,1409.61,信用卡,已取消
order_2756,user_4371,item_101,2024-10-14 17:53:42,3,1229.94,信用卡,已完成
order_2757,user_964,item_65,2024-09-18 09:00:48,3,2749.05,微信,已取消
order_2758,user_547,item_212,2024-09-05 18:03:04,4,90.12,微信,已完成
order_2759,user_3301,item_172,2025-05-10 18:26:51,2,662.04,信用卡,已退款
order_2760,user_475,item_406,2025-04-09 21:46:57,2,394.26,支付宝,已完成
order_2761,user_5635,item_407,2025-01-02 11:32:08,4,3820.4,支付宝,已完成
order_2762,user_5051,item_475,2024-06-27 11:05:21,1,63.16,信用卡,已退款
order_2763,user_8959,item_288,2024-08-13 03:49:38,4,1638.56,信用卡,已取消
order_2764,user_8840,item_332,2025-01-25 07:03:58,4,2337.48,微信,已取消
order_2765,user_9764,item_154,2024-11-09 01:17:32,1,541.71,支付宝,已完成
order_2766,user_4527,item_211,2024-07-22 21:23:44,1,262.68,信用卡,已取消
order_2767,user_5288,item_170,2025-05-30 16:36:43,4,3561.32,支付宝,已退款
order_2768,user_6628,item_50,2024-07-14 00:07:10,3,1295.67,信用卡,已完成
order_2769,user_4634,item_84,2024-12-05 19:43:52,2,1259.28,微信,已取消
order_2770,user_7381,item_457,2024-12-30 12:32:16,2,528.34,信用卡,已退款
order_2771,user_1635,item_149,2025-02-04 04:56:47,1,801.3,微信,已退款
order_2772,user_3357,item_290,2024-10-24 22:16:45,1,683.07,支付宝,已完成
order_2773,user_25,item_51,2025-02-01 08:57:03,4,117.76,微信,已完成
order_2774,user_9489,item_398,2024-12-19 08:05:01,3,1474.68,微信,已完成
order_2775,user_6560,item_417,2025-06-11 06:56:03,1,530.11,支付宝,已完成
order_2776,user_5903,item_14,2024-11-04 20:23:22,3,1997.43,微信,已完成
order_2777,user_5444,item_260,2025-04-26 02:21:08,3,928.32,信用卡,已完成
order_2778,user_6206,item_500,2024-11-20 04:23:31,2,1372.26,信用卡,已取消
order_2779,user_4279,item_22,2024-12-28 05:05:25,1,787.24,信用卡,已退款
order_2780,user_4267,item_311,2025-05-16 17:22:45,3,1770.48,微信,已完成
order_2781,user_8435,item_17,2025-04-02 06:50:49,2,777.36,信用卡,已完成
order_2782,user_2342,item_301,2025-05-16 10:08:30,3,2044.2,支付宝,已完成
order_2783,user_8845,item_404,2025-02-16 21:16:20,3,2359.32,信用卡,已完成
order_2784,user_3276,item_264,2024-08-17 05:31:25,2,1562.62,信用卡,已完成
order_2785,user_8919,item_492,2025-04-18 13:32:55,2,584.62,微信,已完成
order_2786,user_3512,item_13,2024-08-19 10:46:11,1,585.69,支付宝,已完成
order_2787,user_1353,item_385,2025-01-08 16:23:19,2,1325.88,微信,已完成
order_2788,user_9041,item_496,2025-02-28 19:53:17,3,2439.87,信用卡,已完成
order_2789,user_5012,item_329,2024-12-22 15:53:06,4,1271.2,信用卡,已完成
order_2790,user_1009,item_355,2025-04-18 11:00:33,4,2394.12,支付宝,已完成
order_2791,user_9032,item_235,2024-12-18 09:17:40,1,375.63,微信,已取消
order_2792,user_368,item_132,2025-03-12 18:35:48,1,546.23,信用卡,已完成
order_2793,user_1927,item_354,2024-12-18 01:19:42,3,314.43,支付宝,已完成
order_2794,user_1178,item_30,2024-08-23 12:16:01,3,2411.7,信用卡,已完成
order_2795,user_6329,item_364,2025-05-29 02:34:27,1,387.5,微信,已完成
order_2796,user_39,item_18,2025-04-05 07:50:03,4,3296.8,微信,已退款
order_2797,user_5863,item_264,2024-10-30 22:53:02,3,243.51,支付宝,已完成
order_2798,user_2215,item_56,2024-07-31 08:07:28,1,216.44,信用卡,已完成
order_2799,user_8296,item_129,2025-05-03 06:25:59,4,2153.72,微信,已完成
order_2800,user_9547,item_372,2025-02-24 06:55:51,1,719.67,支付宝,已完成
order_2801,user_5216,item_85,2025-03-11 17:15:32,4,1979.0,支付宝,已取消
order_2802,user_9375,item_359,2025-02-23 19:55:25,3,1181.34,支付宝,已完成
order_2803,user_5917,item_432,2024-12-02 17:39:40,2,1258.6,支付宝,已完成
order_2804,user_1657,item_138,2024-11-24 00:56:29,2,82.28,微信,已完成
order_2805,user_9241,item_367,2024-09-25 01:42:34,4,1915.8,信用卡,已完成
order_2806,user_960,item_33,2025-06-11 06:32:05,4,2226.76,信用卡,已完成
order_2807,user_1986,item_67,2024-11-27 05:01:01,4,2612.12,支付宝,已完成
order_2808,user_1768,item_131,2024-11-05 07:20:16,3,1443.39,支付宝,已取消
order_2809,user_1814,item_57,2025-01-22 18:04:56,2,782.34,微信,已取消
order_2810,user_8440,item_158,2024-07-14 10:43:09,4,3289.88,微信,已完成
order_2811,user_620,item_385,2025-03-14 00:38:17,4,2140.12,信用卡,已完成
order_2812,user_2221,item_176,2025-06-07 07:27:07,1,896.56,信用卡,已完成
order_2813,user_2159,item_40,2024-12-15 17:36:16,2,1559.12,微信,已完成
order_2814,user_6766,item_404,2025-04-08 10:51:10,3,831.9,信用卡,已完成
order_2815,user_1443,item_265,2024-10-12 08:58:18,4,437.96,信用卡,已取消
order_2816,user_31,item_31,2025-03-04 12:01:37,2,571.84,微信,已完成
order_2817,user_3393,item_364,2024-07-31 00:48:25,2,1973.0,微信,已退款
order_2818,user_2009,item_12,2025-05-28 22:55:15,4,363.56,支付宝,已完成
order_2819,user_6252,item_423,2024-08-29 23:17:24,4,2322.72,支付宝,已退款
order_2820,user_6393,item_321,2025-03-28 07:18:38,4,2536.48,信用卡,已完成
order_2821,user_3060,item_126,2024-07-06 06:50:22,4,2585.84,微信,已完成
order_2822,user_3149,item_332,2025-02-03 19:01:35,1,941.23,支付宝,已完成
order_2823,user_4808,item_51,2025-02-26 08:41:31,3,1276.38,微信,已完成
order_2824,user_2784,item_202,2025-05-01 20:23:10,4,991.68,微信,已取消
order_2825,user_7974,item_12,2025-04-22 07:26:11,1,484.23,支付宝,已完成
order_2826,user_914,item_330,2025-03-28 09:05:01,1,579.36,支付宝,已退款
order_2827,user_9362,item_263,2024-10-24 14:19:16,2,588.06,信用卡,已完成
order_2828,user_6017,item_374,2025-01-30 12:57:39,2,77.14,微信,已完成
order_2829,user_4430,item_463,2025-03-04 04:58:21,1,285.7,微信,已完成
order_2830,user_7144,item_36,2024-08-13 17:22:36,3,2164.8,信用卡,已完成
order_2831,user_5429,item_79,2025-03-03 17:21:49,2,364.42,支付宝,已完成
order_2832,user_431,item_44,2025-01-29 21:11:41,1,812.56,信用卡,已完成
order_2833,user_7650,item_95,2024-07-29 17:19:23,3,2152.62,支付宝,已退款
order_2834,user_826,item_63,2024-09-09 09:11:44,1,409.99,支付宝,已完成
order_2835,user_5732,item_470,2025-02-21 22:23:18,2,560.18,信用卡,已完成
order_2836,user_9381,item_446,2025-01-23 01:54:38,4,3968.04,信用卡,已完成
order_2837,user_1378,item_384,2025-02-05 16:19:56,1,248.55,支付宝,已完成
order_2838,user_9041,item_47,2025-04-16 21:08:01,1,173.96,支付宝,已完成
order_2839,user_6031,item_368,2024-07-17 04:28:24,2,504.5,微信,已完成
order_2840,user_4044,item_132,2025-02-03 02:42:41,4,3671.52,信用卡,已完成
order_2841,user_1574,item_71,2025-01-15 06:44:47,4,315.32,支付宝,已完成
order_2842,user_5006,item_283,2024-09-08 04:56:45,3,876.75,微信,已完成
order_2843,user_7857,item_269,2025-04-14 03:21:41,1,942.46,信用卡,已完成
order_2844,user_8762,item_291,2024-12-28 10:45:31,2,482.48,微信,已完成
order_2845,user_2539,item_12,2025-01-07 20:34:54,3,2774.91,信用卡,已完成
order_2846,user_7520,item_476,2025-06-09 23:01:46,3,1631.52,微信,已完成
order_2847,user_1743,item_397,2024-07-03 21:36:37,4,1629.32,信用卡,已完成
order_2848,user_4305,item_369,2024-08-12 08:46:08,3,1821.78,微信,已完成
order_2849,user_5499,item_321,2025-03-09 07:01:27,4,1762.96,支付宝,已完成
order_2850,user_4002,item_57,2025-06-25 05:29:43,3,1354.17,微信,已完成
order_2851,user_6222,item_491,2025-01-19 04:56:16,4,465.68,微信,已完成
order_2852,user_993,item_117,2024-09-04 10:58:42,3,2282.58,微信,已完成
order_2853,user_4598,item_71,2024-07-04 00:29:42,2,978.04,微信,已完成
order_2854,user_1894,item_8,2024-10-11 10:29:06,3,243.27,微信,已完成
order_2855,user_6952,item_145,2025-04-28 04:45:20,4,2251.96,支付宝,已取消
order_2856,user_1371,item_95,2024-09-14 13:53:24,1,61.15,支付宝,已完成
order_2857,user_7834,item_329,2024-09-29 21:53:10,2,1326.44,信用卡,已完成
order_2858,user_456,item_347,2025-05-14 20:55:30,3,904.2,支付宝,已完成
order_2859,user_2263,item_466,2025-03-27 16:28:56,2,1768.66,信用卡,已完成
order_2860,user_7771,item_245,2025-05-18 10:55:33,1,253.37,微信,已退款
order_2861,user_7003,item_65,2025-06-06 09:12:02,1,136.77,微信,已完成
order_2862,user_7642,item_289,2025-02-06 17:28:18,3,1210.44,支付宝,已完成
order_2863,user_7751,item_334,2024-12-16 04:10:02,1,259.92,信用卡,已完成
order_2864,user_8490,item_495,2024-07-29 12:37:28,1,922.18,支付宝,已完成
order_2865,user_6601,item_180,2025-05-06 00:41:51,4,2486.56,信用卡,已完成
order_2866,user_5009,item_332,2025-01-19 20:38:16,3,2057.79,微信,已完成
order_2867,user_253,item_179,2025-02-17 07:56:43,4,2877.28,支付宝,已完成
order_2868,user_4751,item_403,2024-10-29 02:17:00,2,1473.44,信用卡,已完成
order_2869,user_2751,item_232,2024-11-29 16:40:34,2,1128.58,信用卡,已完成
order_2870,user_3113,item_207,2025-02-10 08:31:46,1,724.93,微信,已完成
order_2871,user_431,item_260,2024-07-14 02:55:35,1,258.15,微信,已完成
order_2872,user_1737,item_467,2025-01-03 12:30:33,1,837.59,信用卡,已取消
order_2873,user_5148,item_256,2025-05-27 09:49:54,2,582.58,微信,已完成
order_2874,user_5836,item_400,2025-06-24 07:45:00,3,1480.08,信用卡,已完成
order_2875,user_1559,item_24,2024-07-05 16:28:40,3,2263.62,微信,已完成
order_2876,user_7924,item_432,2024-11-05 16:16:24,1,724.41,微信,已完成
order_2877,user_2107,item_73,2024-12-13 08:56:46,2,1588.1,信用卡,已完成
order_2878,user_3661,item_292,2024-09-04 18:06:18,3,567.48,微信,已完成
order_2879,user_2266,item_466,2024-12-04 19:08:11,4,237.92,微信,已完成
order_2880,user_4990,item_44,2024-07-05 23:52:31,4,1339.96,微信,已完成
order_2881,user_1219,item_209,2025-05-26 12:09:09,2,646.72,支付宝,已退款
order_2882,user_7728,item_379,2025-01-17 16:02:58,3,1995.81,支付宝,已完成
order_2883,user_6772,item_467,2024-10-27 21:52:02,3,304.5,信用卡,已完成
order_2884,user_1876,item_250,2024-11-22 00:14:56,2,243.14,微信,已完成
order_2885,user_9504,item_270,2024-10-04 12:43:09,3,197.43,支付宝,已取消
order_2886,user_1802,item_406,2024-08-01 00:03:50,4,2859.04,微信,已完成
order_2887,user_7433,item_280,2024-08-10 04:12:50,2,1677.84,微信,已完成
order_2888,user_3232,item_31,2024-08-04 05:30:18,1,93.83,支付宝,已完成
order_2889,user_6045,item_332,2025-01-23 01:23:50,4,122.12,信用卡,已完成
order_2890,user_6592,item_94,2024-08-30 22:58:33,1,701.25,支付宝,已完成
order_2891,user_2913,item_207,2024-10-15 11:19:10,3,2211.09,信用卡,已取消
order_2892,user_8348,item_174,2024-08-21 14:08:42,2,1660.5,信用卡,已完成
order_2893,user_6166,item_147,2024-09-05 14:14:47,4,1335.96,信用卡,已完成
order_2894,user_7307,item_106,2024-10-03 21:35:21,4,902.48,微信,已取消
order_2895,user_9035,item_237,2025-04-21 00:46:02,3,1692.06,支付宝,已完成
order_2896,user_8506,item_14,2024-07-31 11:02:50,3,542.79,信用卡,已完成
order_2897,user_7529,item_331,2024-08-25 13:09:06,3,2794.62,信用卡,已完成
order_2898,user_8155,item_456,2024-10-23 19:10:40,3,722.16,信用卡,已完成
order_2899,user_4573,item_158,2024-12-01 19:44:24,4,3805.44,微信,已完成
order_2900,user_7985,item_376,2025-03-17 04:44:20,1,750.61,支付宝,已完成
order_2901,user_4186,item_309,2024-08-31 08:37:24,4,158.0,微信,已完成
